,TravelTime,Img_name
218,1.0,flow_1018_218.jpg
219,1.0,flow_1018_219.jpg
220,2.0,flow_1018_220.jpg
221,1.0,flow_1018_221.jpg
222,2.0,flow_1018_222.jpg
223,1.0,flow_1018_223.jpg
224,1.0,flow_1018_224.jpg
225,1.0,flow_1018_225.jpg
226,1.0,flow_1018_226.jpg
227,1.0,flow_1018_227.jpg
228,2.0,flow_1018_228.jpg
229,4.0,flow_1018_229.jpg
230,2.0,flow_1018_230.jpg
231,2.0,flow_1018_231.jpg
232,1.0,flow_1018_232.jpg
233,1.0,flow_1018_233.jpg
234,1.0,flow_1018_234.jpg
235,2.0,flow_1018_235.jpg
236,3.0,flow_1018_236.jpg
237,2.0,flow_1018_237.jpg
238,2.0,flow_1018_238.jpg
239,2.0,flow_1018_239.jpg
240,2.0,flow_1018_240.jpg
241,2.0,flow_1018_241.jpg
242,2.0,flow_1018_242.jpg
243,2.0,flow_1018_243.jpg
244,2.0,flow_1018_244.jpg
245,2.0,flow_1018_245.jpg
246,1.0,flow_1018_246.jpg
247,1.0,flow_1018_247.jpg
248,1.0,flow_1018_248.jpg
250,2.0,flow_1018_250.jpg
251,1.0,flow_1018_251.jpg
252,1.0,flow_1018_252.jpg
253,2.0,flow_1018_253.jpg
254,2.0,flow_1018_254.jpg
255,1.0,flow_1018_255.jpg
256,1.0,flow_1018_256.jpg
257,2.0,flow_1018_257.jpg
258,3.0,flow_1018_258.jpg
259,4.0,flow_1018_259.jpg
260,3.0,flow_1018_260.jpg
264,2.0,flow_1018_264.jpg
265,2.0,flow_1018_265.jpg
266,2.0,flow_1018_266.jpg
267,2.0,flow_1018_267.jpg
268,3.0,flow_1018_268.jpg
269,3.0,flow_1018_269.jpg
270,2.0,flow_1018_270.jpg
271,3.0,flow_1018_271.jpg
272,3.0,flow_1018_272.jpg
